TrialNumber,Partner,Trait,ran,order,Rating,sub,partner,Outcome
1,3,0,1.0,0.0,5.0,10541,Friend,Win
2,2,0,1.0,1.0,4.0,10541,Stranger,Win
3,1,0,1.0,2.0,5.0,10541,Computer,Win
4,3,1,1.0,3.0,-2.0,10541,Friend,Lose
5,2,1,1.0,4.0,0.0,10541,Stranger,Lose
6,1,1,1.0,5.0,0.0,10541,Computer,Lose
1,3,0,1.0,0.0,5.0,10555,Friend,Win
2,2,0,1.0,1.0,3.0,10555,Stranger,Win
3,1,0,1.0,2.0,4.0,10555,Computer,Win
4,3,1,1.0,3.0,-3.0,10555,Friend,Lose
5,2,1,1.0,4.0,-2.0,10555,Stranger,Lose
6,1,1,1.0,5.0,-3.0,10555,Computer,Lose
1,3,0,1.0,0.0,3.0,10559,Friend,Win
2,2,0,1.0,1.0,3.0,10559,Stranger,Win
3,1,0,1.0,2.0,0.0,10559,Computer,Win
4,3,1,1.0,3.0,-4.0,10559,Friend,Lose
5,2,1,1.0,4.0,0.0,10559,Stranger,Lose
6,1,1,1.0,5.0,0.0,10559,Computer,Lose
1,3,0,1.0,0.0,5.0,10572,Friend,Win
2,2,0,1.0,1.0,5.0,10572,Stranger,Win
3,1,0,1.0,2.0,3.0,10572,Computer,Win
4,3,1,1.0,3.0,-2.0,10572,Friend,Lose
5,2,1,1.0,4.0,-2.0,10572,Stranger,Lose
6,1,1,1.0,5.0,0.0,10572,Computer,Lose
1,3,0,1.0,0.0,5.0,10584,Friend,Win
2,2,0,1.0,1.0,5.0,10584,Stranger,Win
3,1,0,1.0,2.0,5.0,10584,Computer,Win
4,3,1,1.0,3.0,-5.0,10584,Friend,Lose
5,2,1,1.0,4.0,-5.0,10584,Stranger,Lose
6,1,1,1.0,5.0,-5.0,10584,Computer,Lose
1,3,0,1.0,0.0,5.0,10585,Friend,Win
2,2,0,1.0,1.0,5.0,10585,Stranger,Win
3,1,0,1.0,2.0,3.0,10585,Computer,Win
4,3,1,1.0,3.0,-3.0,10585,Friend,Lose
5,2,1,1.0,4.0,-3.0,10585,Stranger,Lose
6,1,1,1.0,5.0,-2.0,10585,Computer,Lose
1,3,0,1.0,0.0,4.0,10589,Friend,Win
2,2,0,1.0,1.0,1.0,10589,Stranger,Win
3,1,0,1.0,2.0,1.0,10589,Computer,Win
4,3,1,1.0,3.0,-4.0,10589,Friend,Lose
5,2,1,1.0,4.0,-3.0,10589,Stranger,Lose
6,1,1,1.0,5.0,-3.0,10589,Computer,Lose
1,3,0,1.0,0.0,5.0,10590,Friend,Win
2,2,0,1.0,1.0,3.0,10590,Stranger,Win
3,1,0,1.0,2.0,-3.0,10590,Computer,Win
4,3,1,1.0,3.0,-4.0,10590,Friend,Lose
5,2,1,1.0,4.0,-2.0,10590,Stranger,Lose
6,1,1,1.0,5.0,0.0,10590,Computer,Lose
1,3,0,1.0,0.0,5.0,10596,Friend,Win
2,2,0,1.0,1.0,2.0,10596,Stranger,Win
3,1,0,1.0,2.0,0.0,10596,Computer,Win
4,3,1,1.0,3.0,-4.0,10596,Friend,Lose
5,2,1,1.0,4.0,-2.0,10596,Stranger,Lose
6,1,1,1.0,5.0,0.0,10596,Computer,Lose
1,3,0,1.0,0.0,5.0,10603,Friend,Win
2,2,0,1.0,1.0,5.0,10603,Stranger,Win
3,1,0,1.0,2.0,0.0,10603,Computer,Win
4,3,1,1.0,3.0,-3.0,10603,Friend,Lose
5,2,1,1.0,4.0,-3.0,10603,Stranger,Lose
6,1,1,1.0,5.0,0.0,10603,Computer,Lose
1,3,0,1.0,0.0,5.0,10608,Friend,Win
2,2,0,1.0,1.0,2.0,10608,Stranger,Win
3,1,0,1.0,2.0,4.0,10608,Computer,Win
4,3,1,1.0,3.0,-5.0,10608,Friend,Lose
5,2,1,1.0,4.0,0.0,10608,Stranger,Lose
6,1,1,1.0,5.0,0.0,10608,Computer,Lose
1,3,0,1.0,0.0,5.0,10617,Friend,Win
2,2,0,1.0,1.0,5.0,10617,Stranger,Win
3,1,0,1.0,2.0,0.0,10617,Computer,Win
4,3,1,1.0,3.0,-5.0,10617,Friend,Lose
5,2,1,1.0,4.0,-5.0,10617,Stranger,Lose
6,1,1,1.0,5.0,0.0,10617,Computer,Lose
1,3,0,1.0,0.0,5.0,10636,Friend,Win
2,2,0,1.0,1.0,3.0,10636,Stranger,Win
3,1,0,1.0,2.0,0.0,10636,Computer,Win
4,3,1,1.0,3.0,-5.0,10636,Friend,Lose
5,2,1,1.0,4.0,-1.0,10636,Stranger,Lose
6,1,1,1.0,5.0,0.0,10636,Computer,Lose
1,3,0,1.0,0.0,5.0,10638,Friend,Win
2,2,0,1.0,1.0,5.0,10638,Stranger,Win
3,1,0,1.0,2.0,3.0,10638,Computer,Win
4,3,1,1.0,3.0,-5.0,10638,Friend,Lose
5,2,1,1.0,4.0,-3.0,10638,Stranger,Lose
6,1,1,1.0,5.0,-3.0,10638,Computer,Lose
1,3,0,1.0,0.0,5.0,10640,Friend,Win
2,2,0,1.0,1.0,0.0,10640,Stranger,Win
3,1,0,1.0,2.0,0.0,10640,Computer,Win
4,3,1,1.0,3.0,-5.0,10640,Friend,Lose
5,2,1,1.0,4.0,-5.0,10640,Stranger,Lose
6,1,1,1.0,5.0,-5.0,10640,Computer,Lose
1,3,0,1.0,0.0,5.0,10641,Friend,Win
2,2,0,1.0,1.0,1.0,10641,Stranger,Win
3,1,0,1.0,2.0,4.0,10641,Computer,Win
4,3,1,1.0,3.0,-2.0,10641,Friend,Lose
5,2,1,1.0,4.0,-5.0,10641,Stranger,Lose
6,1,1,1.0,5.0,-3.0,10641,Computer,Lose
1,3,0,1.0,0.0,5.0,10642,Friend,Win
2,2,0,1.0,1.0,2.0,10642,Stranger,Win
3,1,0,1.0,2.0,-1.0,10642,Computer,Win
4,3,1,1.0,3.0,-5.0,10642,Friend,Lose
5,2,1,1.0,4.0,0.0,10642,Stranger,Lose
6,1,1,1.0,5.0,0.0,10642,Computer,Lose
1,3,0,1.0,0.0,5.0,10644,Friend,Win
2,2,0,1.0,1.0,0.0,10644,Stranger,Win
3,1,0,1.0,2.0,0.0,10644,Computer,Win
4,3,1,1.0,3.0,-5.0,10644,Friend,Lose
5,2,1,1.0,4.0,0.0,10644,Stranger,Lose
6,1,1,1.0,5.0,0.0,10644,Computer,Lose
1,3,0,1.0,0.0,-2.0,10647,Friend,Win
2,2,0,1.0,1.0,0.0,10647,Stranger,Win
3,1,0,1.0,2.0,-2.0,10647,Computer,Win
4,3,1,1.0,3.0,-4.0,10647,Friend,Lose
5,2,1,1.0,4.0,-1.0,10647,Stranger,Lose
6,1,1,1.0,5.0,0.0,10647,Computer,Lose
1,3,0,1.0,0.0,5.0,10649,Friend,Win
2,2,0,1.0,1.0,5.0,10649,Stranger,Win
3,1,0,1.0,2.0,5.0,10649,Computer,Win
4,3,1,1.0,3.0,-4.0,10649,Friend,Lose
5,2,1,1.0,4.0,-4.0,10649,Stranger,Lose
6,1,1,1.0,5.0,-4.0,10649,Computer,Lose
1,3,0,1.0,0.0,5.0,10652,Friend,Win
2,2,0,1.0,1.0,0.0,10652,Stranger,Win
3,1,0,1.0,2.0,0.0,10652,Computer,Win
4,3,1,1.0,3.0,0.0,10652,Friend,Lose
5,2,1,1.0,4.0,0.0,10652,Stranger,Lose
6,1,1,1.0,5.0,-2.0,10652,Computer,Lose
1,3,0,1.0,0.0,2.0,10656,Friend,Win
2,2,0,1.0,1.0,1.0,10656,Stranger,Win
3,1,0,1.0,2.0,4.0,10656,Computer,Win
4,3,1,1.0,3.0,-1.0,10656,Friend,Lose
5,2,1,1.0,4.0,0.0,10656,Stranger,Lose
6,1,1,1.0,5.0,0.0,10656,Computer,Lose
1,3,0,1.0,0.0,5.0,10657,Friend,Win
2,2,0,1.0,1.0,5.0,10657,Stranger,Win
3,1,0,1.0,2.0,0.0,10657,Computer,Win
4,3,1,1.0,3.0,-5.0,10657,Friend,Lose
5,2,1,1.0,4.0,-3.0,10657,Stranger,Lose
6,1,1,1.0,5.0,0.0,10657,Computer,Lose
1,3,0,1.0,0.0,5.0,10659,Friend,Win
2,2,0,1.0,1.0,5.0,10659,Stranger,Win
3,1,0,1.0,2.0,5.0,10659,Computer,Win
4,3,1,1.0,3.0,-5.0,10659,Friend,Lose
5,2,1,1.0,4.0,-5.0,10659,Stranger,Lose
6,1,1,1.0,5.0,-5.0,10659,Computer,Lose
1,3,0,1.0,0.0,5.0,10661,Friend,Win
2,2,0,1.0,1.0,5.0,10661,Stranger,Win
3,1,0,1.0,2.0,5.0,10661,Computer,Win
4,3,1,1.0,3.0,-5.0,10661,Friend,Lose
5,2,1,1.0,4.0,-5.0,10661,Stranger,Lose
6,1,1,1.0,5.0,-5.0,10661,Computer,Lose
1,3,0,1.0,0.0,4.0,10663,Friend,Win
2,2,0,1.0,1.0,3.0,10663,Stranger,Win
3,1,0,1.0,2.0,2.0,10663,Computer,Win
4,3,1,1.0,3.0,-5.0,10663,Friend,Lose
5,2,1,1.0,4.0,-3.0,10663,Stranger,Lose
6,1,1,1.0,5.0,-3.0,10663,Computer,Lose
1,3,0,1.0,0.0,5.0,10668,Friend,Win
2,2,0,1.0,1.0,5.0,10668,Stranger,Win
3,1,0,1.0,2.0,5.0,10668,Computer,Win
4,3,1,1.0,3.0,-5.0,10668,Friend,Lose
5,2,1,1.0,4.0,-5.0,10668,Stranger,Lose
6,1,1,1.0,5.0,-5.0,10668,Computer,Lose
1,3,0,1.0,0.0,3.0,10673,Friend,Win
2,2,0,1.0,1.0,1.0,10673,Stranger,Win
3,1,0,1.0,2.0,0.0,10673,Computer,Win
4,3,1,1.0,3.0,-5.0,10673,Friend,Lose
5,2,1,1.0,4.0,-1.0,10673,Stranger,Lose
6,1,1,1.0,5.0,0.0,10673,Computer,Lose
1,3,0,1.0,0.0,5.0,10674,Friend,Win
2,2,0,1.0,1.0,4.0,10674,Stranger,Win
3,1,0,1.0,2.0,4.0,10674,Computer,Win
4,3,1,1.0,3.0,-1.0,10674,Friend,Lose
5,2,1,1.0,4.0,-1.0,10674,Stranger,Lose
6,1,1,1.0,5.0,-1.0,10674,Computer,Lose
1,3,0,1.0,0.0,1.0,10677,Friend,Win
2,2,0,1.0,1.0,0.0,10677,Stranger,Win
3,1,0,1.0,2.0,0.0,10677,Computer,Win
4,3,1,1.0,3.0,-1.0,10677,Friend,Lose
5,2,1,1.0,4.0,0.0,10677,Stranger,Lose
6,1,1,1.0,5.0,0.0,10677,Computer,Lose
1,3,0,1.0,0.0,5.0,10685,Friend,Win
2,2,0,1.0,1.0,0.0,10685,Stranger,Win
3,1,0,1.0,2.0,0.0,10685,Computer,Win
4,3,1,1.0,3.0,0.0,10685,Friend,Lose
5,2,1,1.0,4.0,0.0,10685,Stranger,Lose
6,1,1,1.0,5.0,0.0,10685,Computer,Lose
1,3,0,1.0,0.0,5.0,10690,Friend,Win
2,2,0,1.0,1.0,5.0,10690,Stranger,Win
3,1,0,1.0,2.0,5.0,10690,Computer,Win
4,3,1,1.0,3.0,-1.0,10690,Friend,Lose
5,2,1,1.0,4.0,-1.0,10690,Stranger,Lose
6,1,1,1.0,5.0,-1.0,10690,Computer,Lose
1,3,0,1.0,0.0,5.0,10691,Friend,Win
2,2,0,1.0,1.0,3.0,10691,Stranger,Win
3,1,0,1.0,2.0,4.0,10691,Computer,Win
4,3,1,1.0,3.0,-2.0,10691,Friend,Lose
5,2,1,1.0,4.0,-2.0,10691,Stranger,Lose
6,1,1,1.0,5.0,-4.0,10691,Computer,Lose
1,3,0,1.0,0.0,5.0,10701,Friend,Win
2,2,0,1.0,1.0,4.0,10701,Stranger,Win
3,1,0,1.0,2.0,3.0,10701,Computer,Win
4,3,1,1.0,3.0,-5.0,10701,Friend,Lose
5,2,1,1.0,4.0,-4.0,10701,Stranger,Lose
6,1,1,1.0,5.0,-1.0,10701,Computer,Lose
1,3,0,1.0,0.0,0.0,10713,Friend,Win
2,2,0,1.0,1.0,0.0,10713,Stranger,Win
3,1,0,1.0,2.0,5.0,10713,Computer,Win
4,3,1,1.0,3.0,-5.0,10713,Friend,Lose
5,2,1,1.0,4.0,0.0,10713,Stranger,Lose
6,1,1,1.0,5.0,-5.0,10713,Computer,Lose
1,3,0,1.0,0.0,5.0,10716,Friend,Win
2,2,0,1.0,1.0,0.0,10716,Stranger,Win
3,1,0,1.0,2.0,0.0,10716,Computer,Win
4,3,1,1.0,3.0,-5.0,10716,Friend,Lose
5,2,1,1.0,4.0,0.0,10716,Stranger,Lose
6,1,1,1.0,5.0,0.0,10716,Computer,Lose
1,3,0,1.0,0.0,3.0,10718,Friend,Win
2,2,0,1.0,1.0,0.0,10718,Stranger,Win
3,1,0,1.0,2.0,0.0,10718,Computer,Win
4,3,1,1.0,3.0,0.0,10718,Friend,Lose
5,2,1,1.0,4.0,3.0,10718,Stranger,Lose
6,1,1,1.0,5.0,-1.0,10718,Computer,Lose
1,3,0,1.0,0.0,4.0,10720,Friend,Win
2,2,0,1.0,1.0,0.0,10720,Stranger,Win
3,1,0,1.0,2.0,0.0,10720,Computer,Win
4,3,1,1.0,3.0,-5.0,10720,Friend,Lose
5,2,1,1.0,4.0,0.0,10720,Stranger,Lose
6,1,1,1.0,5.0,-1.0,10720,Computer,Lose
1,3,0,1.0,0.0,3.0,10723,Friend,Win
2,2,0,1.0,1.0,4.0,10723,Stranger,Win
3,1,0,1.0,2.0,4.0,10723,Computer,Win
4,3,1,1.0,3.0,-1.0,10723,Friend,Lose
5,2,1,1.0,4.0,-2.0,10723,Stranger,Lose
6,1,1,1.0,5.0,-2.0,10723,Computer,Lose
1,3,0,1.0,0.0,5.0,10741,Friend,Win
2,2,0,1.0,1.0,3.0,10741,Stranger,Win
3,1,0,1.0,2.0,3.0,10741,Computer,Win
4,3,1,1.0,3.0,-1.0,10741,Friend,Lose
5,2,1,1.0,4.0,-1.0,10741,Stranger,Lose
6,1,1,1.0,5.0,-1.0,10741,Computer,Lose
1,3,0,1.0,0.0,5.0,10748,Friend,Win
2,2,0,1.0,1.0,5.0,10748,Stranger,Win
3,1,0,1.0,2.0,5.0,10748,Computer,Win
4,3,1,1.0,3.0,-2.0,10748,Friend,Lose
5,2,1,1.0,4.0,-2.0,10748,Stranger,Lose
6,1,1,1.0,5.0,-2.0,10748,Computer,Lose
1,3,0,1.0,0.0,3.0,10767,Friend,Win
2,2,0,1.0,1.0,2.0,10767,Stranger,Win
3,1,0,1.0,2.0,-2.0,10767,Computer,Win
4,3,1,1.0,3.0,-2.0,10767,Friend,Lose
5,2,1,1.0,4.0,-2.0,10767,Stranger,Lose
6,1,1,1.0,5.0,-2.0,10767,Computer,Lose
1,3,0,1.0,0.0,5.0,10770,Friend,Win
2,2,0,1.0,1.0,0.0,10770,Stranger,Win
3,1,0,1.0,2.0,0.0,10770,Computer,Win
4,3,1,1.0,3.0,-5.0,10770,Friend,Lose
5,2,1,1.0,4.0,0.0,10770,Stranger,Lose
6,1,1,1.0,5.0,0.0,10770,Computer,Lose
1,3,0,1.0,0.0,1.0,10774,Friend,Win
2,2,0,1.0,1.0,1.0,10774,Stranger,Win
3,1,0,1.0,2.0,0.0,10774,Computer,Win
4,3,1,1.0,3.0,-1.0,10774,Friend,Lose
5,2,1,1.0,4.0,0.0,10774,Stranger,Lose
6,1,1,1.0,5.0,0.0,10774,Computer,Lose
1,3,0,1.0,0.0,5.0,10777,Friend,Win
2,2,0,1.0,1.0,3.0,10777,Stranger,Win
3,1,0,1.0,2.0,3.0,10777,Computer,Win
4,3,1,1.0,3.0,-1.0,10777,Friend,Lose
5,2,1,1.0,4.0,-2.0,10777,Stranger,Lose
6,1,1,1.0,5.0,-3.0,10777,Computer,Lose
1,3,0,1.0,0.0,5.0,10781,Friend,Win
2,2,0,1.0,1.0,3.0,10781,Stranger,Win
3,1,0,1.0,2.0,0.0,10781,Computer,Win
4,3,1,1.0,3.0,0.0,10781,Friend,Lose
5,2,1,1.0,4.0,0.0,10781,Stranger,Lose
6,1,1,1.0,5.0,0.0,10781,Computer,Lose
1,3,0,1.0,0.0,5.0,10783,Friend,Win
2,2,0,1.0,1.0,5.0,10783,Stranger,Win
3,1,0,1.0,2.0,5.0,10783,Computer,Win
4,3,1,1.0,3.0,-3.0,10783,Friend,Lose
5,2,1,1.0,4.0,-1.0,10783,Stranger,Lose
6,1,1,1.0,5.0,-2.0,10783,Computer,Lose
1,3,0,1.0,0.0,5.0,10785,Friend,Win
2,2,0,1.0,1.0,3.0,10785,Stranger,Win
3,1,0,1.0,2.0,3.0,10785,Computer,Win
4,3,1,1.0,3.0,-3.0,10785,Friend,Lose
5,2,1,1.0,4.0,-2.0,10785,Stranger,Lose
6,1,1,1.0,5.0,-2.0,10785,Computer,Lose
1,3,0,1.0,0.0,3.0,10794,Friend,Win
2,2,0,1.0,1.0,0.0,10794,Stranger,Win
3,1,0,1.0,2.0,0.0,10794,Computer,Win
4,3,1,1.0,3.0,-2.0,10794,Friend,Lose
5,2,1,1.0,4.0,0.0,10794,Stranger,Lose
6,1,1,1.0,5.0,0.0,10794,Computer,Lose
1,3,0,1.0,0.0,3.0,10800,Friend,Win
2,2,0,1.0,1.0,4.0,10800,Stranger,Win
3,1,0,1.0,2.0,2.0,10800,Computer,Win
4,3,1,1.0,3.0,-5.0,10800,Friend,Lose
5,2,1,1.0,4.0,-2.0,10800,Stranger,Lose
6,1,1,1.0,5.0,-3.0,10800,Computer,Lose
1,3,0,1.0,0.0,4.0,10801,Friend,Win
2,2,0,1.0,1.0,4.0,10801,Stranger,Win
3,1,0,1.0,2.0,4.0,10801,Computer,Win
4,3,1,1.0,3.0,-5.0,10801,Friend,Lose
5,2,1,1.0,4.0,-3.0,10801,Stranger,Lose
6,1,1,1.0,5.0,-1.0,10801,Computer,Lose
1,3,0,1.0,0.0,5.0,10802,Friend,Win
2,2,0,1.0,1.0,5.0,10802,Stranger,Win
3,1,0,1.0,2.0,3.0,10802,Computer,Win
4,3,1,1.0,3.0,-5.0,10802,Friend,Lose
5,2,1,1.0,4.0,-2.0,10802,Stranger,Lose
6,1,1,1.0,5.0,-2.0,10802,Computer,Lose
1,3,0,1.0,0.0,-1.0,10804,Friend,Win
2,2,0,1.0,1.0,1.0,10804,Stranger,Win
3,1,0,1.0,2.0,1.0,10804,Computer,Win
4,3,1,1.0,3.0,0.0,10804,Friend,Lose
5,2,1,1.0,4.0,-2.0,10804,Stranger,Lose
6,1,1,1.0,5.0,-4.0,10804,Computer,Lose
1,3,0,1.0,0.0,0.0,10806,Friend,Win
2,2,0,1.0,1.0,0.0,10806,Stranger,Win
3,1,0,1.0,2.0,-5.0,10806,Computer,Win
4,3,1,1.0,3.0,-3.0,10806,Friend,Lose
5,2,1,1.0,4.0,0.0,10806,Stranger,Lose
6,1,1,1.0,5.0,-3.0,10806,Computer,Lose
1,3,0,1.0,0.0,5.0,10807,Friend,Win
2,2,0,1.0,1.0,5.0,10807,Stranger,Win
3,1,0,1.0,2.0,5.0,10807,Computer,Win
4,3,1,1.0,3.0,-5.0,10807,Friend,Lose
5,2,1,1.0,4.0,-5.0,10807,Stranger,Lose
6,1,1,1.0,5.0,-5.0,10807,Computer,Lose
1,3,0,1.0,0.0,5.0,10809,Friend,Win
2,2,0,1.0,1.0,3.0,10809,Stranger,Win
3,1,0,1.0,2.0,2.0,10809,Computer,Win
4,3,1,1.0,3.0,-1.0,10809,Friend,Lose
5,2,1,1.0,4.0,-1.0,10809,Stranger,Lose
6,1,1,1.0,5.0,0.0,10809,Computer,Lose
1,3,0,1.0,0.0,5.0,10812,Friend,Win
2,2,0,1.0,1.0,5.0,10812,Stranger,Win
3,1,0,1.0,2.0,5.0,10812,Computer,Win
4,3,1,1.0,3.0,-5.0,10812,Friend,Lose
5,2,1,1.0,4.0,-5.0,10812,Stranger,Lose
6,1,1,1.0,5.0,-5.0,10812,Computer,Lose
1,3,0,1.0,0.0,-2.0,2002,Friend,Win
2,2,0,1.0,1.0,2.0,2002,Stranger,Win
3,1,0,1.0,2.0,-2.0,2002,Computer,Win
4,3,1,1.0,3.0,2.0,2002,Friend,Lose
5,2,1,1.0,4.0,-2.0,2002,Stranger,Lose
6,1,1,1.0,5.0,2.0,2002,Computer,Lose
1,3,0,1.0,0.0,-3.0,2002,Friend,Win
2,2,0,1.0,1.0,-2.0,2002,Stranger,Win
3,1,0,1.0,2.0,-1.0,2002,Computer,Win
4,3,1,1.0,3.0,0.0,2002,Friend,Lose
5,2,1,1.0,4.0,0.0,2002,Stranger,Lose
6,1,1,1.0,5.0,0.0,2002,Computer,Lose
